label,label_num,message
ham,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,0,Ok lar... Joking wif u oni...
spam,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question.
ham,0,U dun say so early hor... U c already then say...
ham,0,"Nah I don't think he goes to usf, he lives around here though"
spam,1,FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still?
ham,0,Even my brother is not like to speak with me. They treat me like aids patent.
ham,0,As per your request Melle Melle has been set as your callertune for all Callers.
spam,1,WINNER!! As a valued network customer you have been selected to receive a prize reward! To claim call now.
spam,1,Had your mobile 11 months or more? You are entitled to update to the latest colour mobile with camera for free.
ham,0,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight.
spam,1,SIX chances to win CASH! Text CSH11 and send to 87575. Cost applies.
spam,1,URGENT! You have won a 1 week FREE membership in our Prize Jackpot! Txt the word CLAIM now.
ham,0,Finally the match heading towards draw as your prediction.
ham,0,Tired. I haven't slept well the past few nights.
ham,0,Easy ah?sen got selected means its good..
ham,0,I have to take exam with march 3
ham,0,Yeah you should. I think you can use your card to register. Let me know if I can help.
ham,0,Ok no prob. Take ur time.
ham,0,There is os called ubuntu which will run without installing in hard disk.
ham,0,"Sorry, I'll call later"
ham,0,U say leh... Of course nothing happen lar.
spam,1,"500 New Mobiles from 2004, MUST GO! Txt NOKIA to collect yours today."
ham,0,Would really appreciate if you call me. Just need someone to talk to.
spam,1,"Will u meet ur dream partner soon? To find out free, txt HORO followed by your star sign."
ham,0,Hey company elama po mudyadhu.
ham,0,Life is more strict than teacher. Life first conducts exam and then teaches lessons.
ham,0,Dear good morning now only i am up
ham,0,Get down in gandhipuram and walk to cross cut road.
ham,0,Dear we are going to our rubber place
ham,0,"Sorry battery died, yeah I'm here"
ham,0,Yes here tv is always available in work place.
spam,1,Text and meet someone today. You can find a date or even flirt. Reply with NAME and AGE.
ham,0,I have printed it oh. So come upstairs
ham,0,Or ill be a little closer like at the bus stop on the same street
ham,0,Where are you? when will you reach here?
ham,0,Argument wins the situation but loses the person. So dont argue with your friends.
ham,0,Dude we should go sup again
ham,0,Yoyyooo u know how to change permissions for a drive in mac.
ham,0,Gibbs unsold.mike hussey
ham,0,I like to talk pa but am not able to. I dont know why.
ham,0,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
ham,0,Wife. how she knew the time of murder exactly
ham,0,Why do you ask princess?
ham,0,I am great princess! What are you thinking about me?
ham,0,It's ok i know you're busy but i'm really too bored so i msg u.
ham,0,Doesn't he have class early tomorrow?
ham,0,Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow.
ham,0,Hope you are having a good week. Just checking in
ham,0,I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year.
ham,0,"Thursday night? Yeah, sure thing, we'll work it out then"
spam,1,Your free ringtone is waiting to be collected. Simply text the password MIX to verify.
ham,0,Probably money worries. Things are coming due and i have several outstanding invoices for work.
ham,0,How is it possible to teach you. And where.
ham,0,"I wonder if your phone battery went dead? I had to tell you, I love you babe"
ham,0,Lovely smell on this bus and it ain't tobacco.
ham,0,We're all getting worried over here.
ham,0,Hey what's up charles sorry about the late reply.
spam,1,"All the latest from Stereophonics, Marley, Dizzee Rascal and The Strokes! Win games with Flirt."
ham,0,I will give her once i have it. Plus she said greet you whenever we speak
ham,0,WHITE FUDGE OREOS ARE IN STORES
spam,1,"January Male Sale! Hot chat now cheaper, call this number. To stop texts call another number."
ham,0,My love! How come it took you so long to leave? I miss you
ham,0,I am sorry it hurt you.
ham,0,Can't. I feel nauseous. I'm so upset. I didn't eat any sweets all week.
ham,0,Ok lor but not too early. Me still having project meeting now.
ham,0,"Call me da, i am waiting for your call."
ham,0,I could ask carlos if we could get more if anybody else can chip in
ham,0,Was actually about to send you a reminder today. Have a wonderful weekend
ham,0,"When people see my msgs, they think I am addicted to messaging."
ham,0,Hey you gave them your photo when you registered for driving ah?
ham,0,Dont talk to him ever ok its my word.
ham,0,When u wana see it then
ham,0,On my way to school. Can you please send me ashley's number
ham,0,It shall be fine. I have avalarr now. Will hollalater
ham,0,She went to attend another two rounds today but still did not reach home.
ham,0,Actually i deleted my old website now i am blogging.
ham,0,"K, wait chikku.. i will send after few mins"
ham,0,But I'm on a diet. And I ate too many slices of pizza yesterday.
ham,0,K i will give my account details
ham,0,Oh all have to come ah?
